DATA,BLANK,MIN,MINstd,GR,GRstd,DBL,DBLstd,LAG,LAGstd,MAX,MAXstd
"A1,A2","A11,B11,C11,D11,E11,F11,G11,H11",0.247033505154639,0.0190918830920368,0.352220313735908,0.0127329058347722,1.96922315348045,0.0711882080705883,0.970547200225255,0.151229896933967,0.865033505154639,0.00212132034355964
"B1,B2","A11,B11,C11,D11,E11,F11,G11,H11",0.143533505154639,0.00707106781186546,0.317504801921523,0.00259486044065764,2.18318061849575,0.0178424042328195,0.927670362009113,0.129103639908342,0.773533505154639,0.00282842712474619
"C1,C2","A11,B11,C11,D11,E11,F11,G11,H11",0.0745335051546392,0.00707106781186547,0.363829408343505,0.0298957401661269,1.91159676828425,0.157075263781529,1.15052473969185,0.114868211779086,0.701533505154639,0.00707106781186548
"D1,D2","A11,B11,C11,D11,E11,F11,G11,H11",0.0360335051546392,0.00212132034355964,0.432527389466399,0.0237065905234587,1.60496166756698,0.0879670744222625,1.7408743293987,0.0896282255613495,0.638533505154639,0.0070710678118654
"E1,E2","A11,B11,C11,D11,E11,F11,G11,H11",0.0195335051546392,0.00424264068711928,0.493160073685232,0.0495271647731179,1.41264553342099,0.141869408804587,2.35155163227049,0.270125709610709,0.580533505154639,0.00282842712474619
"F1,F2","A11,B11,C11,D11,E11,F11,G11,H11",0.0105335051546392,0.00565685424949238,0.495231255384422,0.0616408221839196,1.41057005477726,0.175571911060002,2.85292497342367,0.0352999772434291,0.528033505154639,0.0275771644662753
"G1,G2","A11,B11,C11,D11,E11,F11,G11,H11",0.00653350515463917,0.00141421356237309,0.504222621439562,0.0133776935094116,1.3751688122993,0.0364850486916256,3.50706484573275,0.150985325779958,0.499533505154639,0.0127279220613579
"H1,H2","A11,B11,C11,D11,E11,F11,G11,H11",0.001,0,0.738014318722821,0.169379549662826,0.964610311389293,0.221384946061731,0,0,0.510033505154639,0.00070710678118647
